PDB_ID	calss_label
2WZO	3
2D88	1
3B84	3
2DK4	1
1YZG	3
2JRF	1
2CPQ	3
2DL9	2
4LG8	2
2IGP	1
2R53	2
2DL4	2
4HKC	1
2L73	3
3T92	1
1ALY	2
4ZAI	2
2PE4	3
4CY2	2
1D7Q	2
2LNA	3
4DKC	1
3E9V	1
2EC1	2
1IHK	2
2JR7	3
5L19	2
2M3D	3
3LGD	3
1JXS	1
1GGZ	1
1X2N	1
2DLP	2
2BQ8	3
1FXL	3
3H8Z	2
2MIO	2
2L08	3
2DK2	3
4OD9	2
2KE9	2
2I50	3
2L03	2
5H4Y	2
2K9A	1
1BV8	2
1RM8	3
1YCK	3
2DS4	2
2YUL	1
2YUN	2
4C9Y	1
2YUF	3
4X90	3
2YUA	1
1Y6L	3
1UJD	2
2L9R	1
1GQ4	2
2LK2	1
2DHK	2
1JLI	1
2N52	3
5AER	1
2EJY	2
2CRE	2
2DZJ	3
5DKA	3
2EJM	2
2CRR	3
2CRW	3
2YU4	3
2YU6	3
2LLY	1
2MNG	2
1R79	3
1SRA	1
5LCI	3
2NCL	3
2IQJ	3
2EW3	2
2KEB	1
2KEA	2
2YRL	2
2B1U	1
2YRN	1
2YRB	2
2L0B	3
2L0A	2
1UIT	2
1X6B	2
1X6F	3
3S5O	3
1X3S	3
2ASU	2
2ASQ	3
1V89	2
2GW6	3
4A4I	2
2DAF	3
2DAI	1
2DAJ	3
2DAM	1
2EGP	3
1UFW	3
2Q3F	3
1X1G	2
2DAW	3
2LLK	1
2DAX	3
2BRQ	2
2KMU	1
3Q2E	1
4K92	1
1Z0F	3
3D9H	1
1WMH	3
1WMV	2
2DA4	1
2DA7	1
2DA6	1
2KSP	1
1BD8	1
2JLP	2
3D9S	1
1ZDN	3
2DHZ	3
2DHY	1
4JOI	2
4BOP	3
1XHN	2
2Q87	2
4LWD	1
1X67	3
1X68	2
1MJ4	3
2CU8	2
1IRS	2
1JID	3
1M7B	3
2MMY	3
2MMZ	3
2LLL	2
2RQP	1
5J7E	3
1S1N	2
1G25	3
2YQP	3
2YQR	3
2KXJ	3
2E4H	2
2YQG	2
2EPD	2
2MDG	3
2YQM	3
2EPA	3
3LQM	2
1WVO	3
2EP8	3
2LGW	1
2LGV	3
2KJX	2
1JBI	2
2EBL	3
2M0C	1
4XC2	3
1BCI	2
1TUZ	1
2CQ2	3
2ENK	3
2CQ3	3
2ENP	2
2KA4	1
2CUF	1
2CUD	2
2CUE	1
4JS1	3
1OQJ	3
2DNQ	3
2RRF	2
2LUL	2
2F8A	3
2HRB	3
2DMU	1
2DMT	1
2DMW	3
2DMQ	1
2DMP	1
2M2E	1
2DMY	3
2LZU	2
2FI2	1
2DME	1
1X3A	1
1YRV	3
1X5O	3
1WI1	2
2DMN	1
2DMI	3
1X5E	3
1WI5	2
1Y2A	1
1KSQ	3
2DM0	3
1WIM	3
1X51	3
1X52	3
1X53	3
1X57	1
3VI6	3
2Z7X	3
2DLL	1
1UM1	2
1HDP	1
1SJ6	3
1N6J	3
2EPB	2
2KV3	3
2EDU	1
3DSH	2
1UC6	2
2CQL	3
2CQM	3
2CQH	3
2CQD	3
2CQA	2
2DLE	2
5TRB	3
2DB8	2
2IF1	3
2DB2	3
2KDP	3
3SH4	2
2I4K	3
2KDK	3
2EP6	2
1M3G	3
2KDB	3
3H6N	3
5A1M	3
4ASC	2
3EPY	1
2DBM	2
1RL1	2
2DBA	1
2JSN	2
3N3F	2
4QPN	3
4Q3H	2
2LCR	2
2EBM	3
2CQ7	1
2KM6	1
1GR3	2
2EBK	3
4FLB	1
2MC3	1
2HI4	1
2LQT	1
4BGC	3
2DO7	1
2VGE	1
1ZRH	3
1QND	3
2DIX	3
1SNL	1
2V14	3
2DIP	3
2DIS	3
2DIR	3
2DIT	3
1SNZ	2
2DIL	2
2HVZ	3
3C6W	3
2DIG	2
2M6N	2
2DI0	1
2GUT	1
2RNL	2
2E3L	3
2ETT	3
1ZR9	3
1Y7X	2
2D89	1
2YTC	3
1Y7Q	1
3F4M	1
1UPQ	2
4WII	3
2KR6	1
2DGW	3
3EUF	3
1WWV	1
4EJQ	2
2FN4	3
2KIU	1
1WWY	2
1WWX	1
1CL3	2
1VA9	2
4M6R	3
2DN6	2
2WCY	3
1TTX	1
1WXP	1
1WXT	2
2EJ7	1
4V11	2
4P0C	2
2EAQ	2
2LV2	3
1D5V	1
1W0H	3
2QIC	3
2DI7	2
2ARW	2
2RA4	2
1IJT	2
1SGO	3
2DNM	3
2DNO	3
2DNH	3
3SMZ	3
