PDB_ID	calss_label
1YZG	3.40.50.300
2DL9	2.60.40.10
2DL4	2.30.30.40
2EC1	2.30.29.30
1X2N	1.10.10.60
2DLP	2.30.30.40
1FXL	3.30.70.330
2MIO	2.30.30.40
2L08	3.30.70.330
2DK2	3.30.70.330
2KE9	2.30.30.40
2I50	3.30.40.10
2DS4	2.60.40.10
2YUN	2.30.30.40
2L9R	1.10.10.60
2LK2	1.10.10.60
2DHK	2.30.29.30
2CRE	2.30.30.40
2DZJ	3.10.20.90
5DKA	3.30.40.10
2YU4	3.30.40.10
2EW3	2.30.30.40
2KEA	2.30.30.40
2YRL	2.60.40.10
2L0B	3.30.40.10
2L0A	2.30.30.40
1X6B	2.30.30.40
1X3S	3.40.50.300
2ASQ	3.10.20.90
1V89	2.30.29.30
2DAF	3.10.20.90
2DAJ	3.10.20.90
2EGP	3.30.40.10
1UFW	3.30.70.330
2Q3F	3.40.50.300
1X1G	2.30.29.30
2LLK	1.10.10.60
2BRQ	2.60.40.10
1Z0F	3.40.50.300
1WMH	3.10.20.90
2DA4	1.10.10.60
2DA7	1.10.10.60
2DA6	1.10.10.60
2DHZ	3.10.20.90
2Q87	2.60.40.10
1IRS	2.30.29.30
1M7B	3.40.50.300
2MMY	3.30.70.330
2MMZ	3.40.30.10
1S1N	2.30.30.40
1G25	3.30.40.10
2KXJ	3.10.20.90
2EPD	2.30.30.40
2YQM	3.30.40.10
3LQM	2.60.40.10
2LGV	3.30.40.10
2M0C	1.10.10.60
4XC2	3.10.20.90
2CQ2	3.30.70.330
2CQ3	3.30.70.330
2CUF	1.10.10.60
2CUD	2.30.30.40
2CUE	1.10.10.60
2DNQ	3.30.70.330
2LUL	2.30.29.30
2F8A	3.40.30.10
2DMU	1.10.10.60
2DMT	1.10.10.60
2DMQ	1.10.10.60
2DMP	1.10.10.60
2M2E	1.10.10.60
1X5O	3.30.70.330
1WI1	2.30.29.30
2DMN	1.10.10.60
1X5E	3.40.30.10
1WIM	3.30.40.10
1HDP	1.10.10.60
1SJ6	3.40.30.10
1UC6	2.60.40.10
2CQH	3.30.70.330
2CQD	3.30.70.330
2DLE	2.60.40.10
5TRB	3.30.40.10
2DB8	2.60.40.10
2KDB	3.10.20.90
3H6N	3.10.20.90
2DBM	2.30.30.40
1ZRH	3.40.50.300
2DIS	3.30.70.330
2DIT	3.30.70.330
2DIL	2.30.30.40
2HVZ	3.30.70.330
3C6W	3.30.40.10
2YTC	3.30.70.330
1UPQ	2.30.29.30
4WII	3.30.70.330
2DGW	3.30.70.330
2FN4	3.40.50.300
1VA9	2.60.40.10
2DN6	2.30.29.30
1WXT	2.30.30.40
2QIC	3.30.40.10
2DI7	2.60.40.10
2ARW	2.60.40.10
2DNM	3.30.70.330
2DNO	3.30.70.330
2DNH	3.30.70.330
3SMZ	3.30.70.330
1UGV	2.30.30.40
1U5D	2.30.29.30
5A2F	2.60.40.10
1WJU	3.10.20.90
2K2J	2.30.29.30
1IAM	2.60.40.10
2FRG	2.60.40.10
2CT6	3.40.30.10
2CT2	3.30.40.10
2HDA	2.30.30.40
2E7M	2.60.40.10
1FAO	2.30.29.30
1WGM	3.30.40.10
2UZG	3.30.40.10
2DJ0	3.40.30.10
2EE2	2.60.40.10
1X4U	3.30.40.10
1X4I	3.30.40.10
1X4E	3.30.70.330
2DGT	3.30.70.330
1ZD8	3.40.50.300
2RF0	2.30.30.40
2L7Z	1.10.10.60
2L7R	3.10.20.90
2CPE	3.30.70.330
2CPD	3.30.70.330
4GOS	2.60.40.10
2CPX	3.30.70.330
3CBQ	3.40.50.300
1WF1	3.30.70.330
2JP2	2.30.29.30
2YRP	2.60.40.10
2EW1	3.40.50.300
2RPQ	3.10.20.90
2R37	3.40.30.10
2N9X	3.10.20.90
1ZXQ	2.60.40.10
2ATV	3.40.50.300
3P2T	2.60.40.10
1Z60	3.30.40.10
1B4R	2.60.40.10
1HKF	2.60.40.10
3PV7	2.60.40.10
1WOU	3.40.30.10
3A03	1.10.10.60
1TEV	3.40.50.300
1T91	3.40.50.300
2M9K	3.30.70.330
2LJK	3.40.30.10
