Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
P0DP58	LYNX1_HUMAN	reviewed	Ly-6/neurotoxin-like protein 1 (Endogenous prototoxin LYNX1) (Testicular tissue protein Li 112)	LYNX1	Homo sapiens (Human)	2017-07-05	2019-01-16	regulation of neurotransmitter receptor activity [GO:0099601]; synaptic transmission, cholinergic [GO:0007271]	66004	2L03
P0DML2	CSH1_HUMAN	reviewed	Chorionic somatomammotropin hormone 1 (Choriomammotropin) (Lactogen) (Placental lactogen) (PL)	CSH1	Homo sapiens (Human)	2014-07-09	2019-01-16	animal organ development [GO:0048513]; growth hormone receptor signaling pathway [GO:0060396]; JAK-STAT cascade involved in growth hormone signaling pathway [GO:0060397]; positive regulation of growth [GO:0045927]; positive regulation of JAK-STAT cascade [GO:0046427]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to nutrient levels [GO:0031667]	1442	1Z7C
P0DJI8	SAA1_HUMAN	reviewed	Serum amyloid A-1 protein (SAA) [Cleaved into: Amyloid protein A (Amyloid fibril protein AA); Serum amyloid protein A(2-104); Serum amyloid protein A(3-104); Serum amyloid protein A(2-103); Serum amyloid protein A(2-102); Serum amyloid protein A(4-101)]	SAA1	Homo sapiens (Human)	2012-07-11	2019-01-16	activation of MAPK activity [GO:0000187]; acute-phase response [GO:0006953]; cell chemotaxis [GO:0060326]; cellular protein metabolic process [GO:0044267]; cytokine-mediated signaling pathway [GO:0019221]; G protein-coupled receptor signaling pathway [GO:0007186]; innate immune response [GO:0045087]; lymphocyte chemotaxis [GO:0048247]; macrophage chemotaxis [GO:0048246]; negative regulation of inflammatory response [GO:0050728]; neutrophil chemotaxis [GO:0030593]; platelet activation [GO:0030168]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cytokine secretion [GO:0050715]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of interleukin-1 secretion [GO:0050716]; receptor-mediated endocytosis [GO:0006898]; regulation of protein secretion [GO:0050708]	6288	4IP8
P0DJD3	RBY1A_HUMAN	reviewed	RNA-binding motif protein, Y chromosome, family 1 member A1 (RNA-binding motif protein 1) (RNA-binding motif protein 2) (Y chromosome RNA recognition motif 1) (hRBMY)	RBMY1A1 RBM1 RBM2 YRRM1 YRRM2	Homo sapiens (Human)	2012-02-22	2019-01-16	mRNA cis splicing, via spliceosome [GO:0045292]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	5940	2FY1
P0CG29	GST2_HUMAN	reviewed	Glutathione S-transferase theta-2 (EC 2.5.1.18) (GST class-theta-2)	GSTT2	Homo sapiens (Human)	2010-07-13	2019-01-16	glutathione metabolic process [GO:0006749]	2953	4MPF
P0CG30	GSTT2_HUMAN	reviewed	Glutathione S-transferase theta-2B (EC 2.5.1.18) (GST class-theta-2) (Glutathione S-transferase theta-2)	GSTT2B GSTT2	Homo sapiens (Human)	2010-07-13	2019-01-16	glutathione derivative biosynthetic process [GO:1901687]; glutathione metabolic process [GO:0006749]	653689	4MPG
P0CE72	ONCO_HUMAN	reviewed	Oncomodulin-1 (OM) (Parvalbumin beta)	OCM OCM1 OCMN	Homo sapiens (Human)	2010-03-23	2019-01-16	regulation of cytosolic calcium ion concentration [GO:0051480]	654231	1TTX
Q68D85	NR3L1_HUMAN	reviewed	Natural cytotoxicity triggering receptor 3 ligand 1 (B7 homolog 6) (B7-H6)	NCR3LG1 B7H6	Homo sapiens (Human)	2010-01-19	2019-01-16	regulation of immune response [GO:0050776]	374383	3PV7
Q8WWF6	DNJB3_HUMAN	reviewed	DnaJ homolog subfamily B member 3	DNAJB3 HCG3	Homo sapiens (Human)	2009-10-13	2019-01-16		414061	2EJ7
Q9BSF0	SMAKA_HUMAN	reviewed	Small membrane A-kinase anchor protein (Small membrane AKAP) (smAKAP)	C2orf88	Homo sapiens (Human)	2008-09-02	2019-01-16		84281	5HVZ
Q96HA1	P121A_HUMAN	reviewed	Nuclear envelope pore membrane protein POM 121 (Nuclear envelope pore membrane protein POM 121A) (Nucleoporin Nup121) (Pore membrane protein of 121 kDa)	POM121 KIAA0618 NUP121 POM121A	Homo sapiens (Human)	2008-09-02	2019-01-16	mRNA export from nucleus [GO:0006406]; protein import into nucleus [GO:0006606]; viral process [GO:0016032]	9883	5T6W
Q68DK7	MSL1_HUMAN	reviewed	Male-specific lethal 1 homolog (MSL-1) (Male-specific lethal 1-like 1) (MSL1-like 1) (Male-specific lethal-1 homolog 1)	MSL1 MSL1L1	Homo sapiens (Human)	2008-09-02	2019-01-16	histone H4-K16 acetylation [GO:0043984]	339287	4DNC
P0C870	JMJD7_HUMAN	reviewed	Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7 (EC 1.14.11.-) (EC 3.4.-.-) (JmjC domain-containing protein 7) (Jumonji domain-containing protein 7) (L-lysine (3S)-hydroxylase JMJD7)	JMJD7	Homo sapiens (Human)	2008-09-02	2019-01-16		100137047	5NFO
Q9UHV5	RPGFL_HUMAN	reviewed	Rap guanine nucleotide exchange factor-like 1 (Link guanine nucleotide exchange factor II) (Link GEFII)	RAPGEFL1	Homo sapiens (Human)	2008-09-02	2019-01-16	G protein-coupled receptor signaling pathway [GO:0007186]; nervous system development [GO:0007399]; small GTPase mediated signal transduction [GO:0007264]	51195	2DHZ
